season,league_match,home,team_1,team_2,outcome,goals_conceded_t1,goals_conceded_t2,goals_scored_t1,goals_scored_t2,home_wins_t1,home_wins_t2,away_wins_t1,away_wins_t2,home_losses_t1,home_losses_t2,away_losses_t1,away_losses_t2,home_draws_t1,home_draws_t2,away_draws_t1,away_draws_t2,rank_position_t1,rank_position_t2,wins_streak_t1,wins_streak_t2,draws_streak_t1,draws_streak_t2,losses_streak_t1,losses_streak_t2
1999,9,team_1,Celta,CF Extremadura,team_1,7,13,13,4,2,0,1,1,0,3,0,2,2,1,3,1,4,20,0,0,1,0,0,1
1999,9,team_1,Mallorca,Villarreal,team_1,3,13,11,11,3,1,1,0,0,1,0,2,1,2,3,2,2,17,0,0,1,0,0,1
1999,9,team_1,Atlético,Deportivo,draw,10,7,13,9,4,3,0,0,0,0,3,2,0,1,1,2,5,8,1,0,0,2,0,0
1999,9,team_1,R. Sociedad,Athletic,team_1,15,12,11,12,2,2,0,1,1,1,2,3,1,1,2,0,15,12,0,0,0,1,1,0
1999,9,team_1,Real Oviedo,Barcelona,team_1,11,8,8,15,2,2,0,2,1,0,2,0,1,2,2,2,13,3,0,2,0,0,1,0
1999,9,team_1,Valencia,Racing,team_1,11,10,13,10,3,2,1,1,1,0,3,2,0,2,0,1,6,9,2,0,0,2,0,0
1999,10,team_1,Real Madrid,Celta,team_2,13,8,22,18,1,3,4,1,1,0,0,0,2,2,1,3,2,3,0,1,1,0,0,0
1999,10,team_1,Real Valladolid,Mallorca,team_1,8,3,9,12,3,4,0,1,1,0,2,0,0,1,3,3,10,1,0,1,1,0,0,0
1999,10,team_1,Villarreal,Atlético,team_1,14,11,11,14,1,4,0,0,1,0,3,3,2,1,2,1,19,7,0,0,0,1,2,0
1999,10,team_1,CF Extremadura,Valencia,team_1,18,11,5,16,0,4,1,1,3,1,3,3,1,0,1,0,20,5,0,3,0,0,2,0
1999,10,team_1,Racing,UD Salamanca,team_1,13,13,10,8,2,3,1,0,0,1,3,3,2,1,1,1,12,13,0,0,0,0,1,2
1999,10,team_1,Real Zaragoza,Espanyol,team_2,14,12,16,9,2,2,3,0,2,1,2,3,0,2,0,1,6,16,1,1,0,0,0,0
1999,10,team_1,Barcelona,Tenerife,team_1,10,14,16,14,2,0,2,2,0,1,1,2,2,4,2,0,4,15,0,0,0,1,1,0
1999,10,team_1,Deportivo,Alavés,draw,8,10,10,5,3,1,0,1,0,2,2,3,1,2,3,0,8,18,0,0,3,1,0,0
1999,10,team_1,Athletic,Real Oviedo,team_2,15,12,13,10,2,3,1,0,1,1,4,2,1,1,0,2,14,11,0,1,0,0,1,0
1999,10,team_1,Real Betis,R. Sociedad,team_1,14,16,5,14,1,3,1,0,2,1,3,2,1,1,1,2,17,9,0,1,0,0,1,0
1999,11,team_1,Tenerife,Athletic,team_2,18,20,15,16,0,2,2,1,1,2,3,4,4,1,0,0,17,16,0,0,0,0,1,2
1999,11,team_1,R. Sociedad,Real Zaragoza,draw,17,17,14,16,3,2,0,3,1,3,3,2,1,0,2,0,13,5,0,0,0,0,1,1
1999,11,team_1,Alavés,Celta,team_1,12,9,7,20,1,3,1,2,2,0,3,0,2,2,1,3,19,1,0,2,2,0,0,0
1999,11,team_1,Valencia,Real Madrid,team_1,12,15,16,23,4,1,1,4,1,2,4,0,0,2,0,1,7,4,0,0,0,0,1,1
1999,11,team_1,Mallorca,Barcelona,team_1,4,11,12,20,4,3,1,2,0,0,1,1,1,2,3,2,3,2,0,1,0,0,1,0
1999,11,team_1,Atlético,Real Valladolid,team_1,13,8,15,10,4,4,0,0,0,1,4,2,1,0,1,3,10,6,0,1,0,0,1,0
1999,11,team_1,Real Oviedo,Real Betis,team_2,15,14,15,6,3,2,1,1,1,2,2,3,1,1,2,1,8,14,2,1,0,0,0,0
1999,11,team_1,Deportivo,Villarreal,team_1,10,15,12,13,3,2,0,0,0,1,2,3,2,2,3,2,11,18,0,1,4,0,0,0
1999,11,team_1,UD Salamanca,CF Extremadura,team_1,17,18,9,6,3,1,0,1,1,3,4,3,1,1,1,1,15,20,0,1,0,0,3,0
1999,11,team_1,Espanyol,Racing,draw,12,14,12,14,2,3,1,1,1,0,3,3,2,2,1,1,12,9,2,1,0,0,0,0
1999,12,team_1,Barcelona,Atlético,team_2,12,14,20,21,3,5,2,0,0,0,2,4,2,1,2,1,3,6,0,1,0,0,1,0
1999,12,team_1,Real Betis,Tenerife,team_1,14,19,7,15,2,0,2,2,2,2,3,3,1,4,1,0,12,18,2,0,0,0,0,2
1999,12,team_1,Celta,Valencia,draw,11,13,20,19,3,5,2,1,0,1,1,4,2,0,3,0,2,5,0,1,0,0,1,0
1999,12,team_1,CF Extremadura,Espanyol,team_1,20,13,7,13,1,2,1,1,3,1,4,3,1,3,1,1,20,14,0,0,0,1,1,0
1999,12,team_1,Real Zaragoza,Real Oviedo,team_1,17,16,16,15,2,3,3,1,3,2,2,2,0,1,1,2,8,11,0,0,1,0,0,1
1999,12,team_1,Athletic,Mallorca,team_1,20,4,17,13,2,5,2,1,2,0,4,1,1,1,0,3,16,1,1,1,0,0,0,0
1999,12,team_1,Real Valladolid,Deportivo,team_2,14,11,11,14,4,4,0,0,1,0,3,2,0,2,3,3,10,7,0,1,0,0,1,0
1999,12,team_1,Villarreal,Alavés,team_1,17,12,14,9,2,2,0,1,1,2,4,3,2,2,2,1,19,17,0,1,0,0,1,0
1999,12,team_1,Racing,R. Sociedad,team_2,15,17,15,14,3,3,1,0,0,1,3,3,2,2,2,2,9,15,0,0,1,1,0,0
1999,12,team_1,Real Madrid,UD Salamanca,team_1,18,18,24,11,1,4,4,0,2,1,1,4,2,1,1,1,4,13,0,1,0,0,2,0
1999,13,team_1,UD Salamanca,Celta,draw,21,13,12,22,4,3,0,2,1,0,5,1,1,3,1,3,15,2,0,0,0,1,1,0
1999,13,team_1,Espanyol,Real Madrid,draw,14,19,13,27,2,2,1,4,1,2,4,1,3,2,1,1,17,3,0,1,0,0,1,0
1999,13,team_1,R. Sociedad,CF Extremadura,team_1,17,20,15,8,3,2,1,1,1,3,3,4,2,1,2,1,10,19,1,1,0,0,0,0
1999,13,team_1,Mallorca,Real Betis,team_1,5,14,13,8,5,3,1,2,0,2,2,3,1,1,3,1,1,9,0,3,0,0,1,0
1999,13,team_1,Deportivo,Barcelona,team_1,11,13,15,20,4,3,1,2,0,1,2,2,2,2,3,2,5,7,2,0,0,0,0,2
1999,13,team_1,Atlético,Athletic,draw,14,20,22,18,5,3,1,2,0,2,4,4,1,1,1,0,4,11,2,2,0,0,0,0
1999,13,team_1,Alavés,Valencia,team_2,14,15,9,21,2,5,1,1,2,1,4,4,2,0,1,1,18,6,0,0,0,1,1,0
1999,13,team_1,Tenerife,Real Zaragoza,draw,20,17,15,17,0,3,2,3,2,3,4,2,4,0,0,1,20,8,0,1,0,0,3,0
1999,13,team_1,Villarreal,Real Valladolid,team_1,17,15,16,11,3,4,0,0,1,2,4,3,2,0,2,3,16,13,1,0,0,0,0,2
1999,13,team_1,Real Oviedo,Racing,team_1,17,16,15,15,3,3,1,1,2,1,3,3,1,2,2,2,14,12,0,0,0,0,2,1
1999,14,team_1,Real Betis,Atlético,draw,15,14,8,22,3,5,2,1,2,0,4,4,1,2,1,1,12,6,0,0,0,1,1,0
1999,14,team_1,Real Madrid,R. Sociedad,team_1,19,17,27,17,2,4,4,1,2,1,1,3,2,2,2,2,5,9,0,2,1,0,0,0
1999,14,team_1,Racing,Tenerife,draw,17,21,15,16,3,0,1,2,1,2,4,4,2,5,2,0,14,20,0,0,0,1,2,0
1999,14,team_1,Barcelona,Villarreal,team_2,15,18,21,18,3,4,2,0,1,1,3,4,2,2,2,2,8,13,0,2,0,0,3,0
1999,14,team_1,Real Valladolid,Alavés,team_1,17,15,12,9,4,2,0,1,2,3,4,4,0,2,3,1,15,18,0,0,0,0,3,2
1999,14,team_1,CF Extremadura,Real Oviedo,team_2,22,17,8,16,2,4,1,1,3,2,5,3,1,1,1,2,19,10,0,1,0,0,1,0
1999,14,team_1,Real Zaragoza,Mallorca,team_2,18,5,18,14,3,6,3,1,3,0,2,2,0,1,2,3,7,1,0,1,1,0,0,0
1999,14,team_1,Athletic,Deportivo,team_1,20,12,18,17,3,5,2,1,2,0,4,2,1,2,1,3,11,2,0,3,1,0,0,0
1999,14,team_1,Valencia,UD Salamanca,team_1,15,22,22,13,5,4,2,0,1,1,4,5,0,2,1,1,4,16,1,0,0,1,0,0
1999,14,team_1,Celta,Espanyol,team_1,14,14,23,13,3,2,2,1,0,1,1,4,3,4,4,1,3,17,0,0,2,1,0,0
1999,15,team_1,Deportivo,Real Betis,draw,14,15,18,8,5,3,1,2,0,2,3,4,2,2,3,1,5,13,0,0,0,1,1,0
1999,15,team_1,Mallorca,Racing,draw,5,17,15,15,6,3,2,1,0,1,2,4,1,3,3,2,1,15,2,0,0,1,0,0
1999,15,team_1,Alavés,UD Salamanca,team_1,18,23,9,13,2,4,1,0,3,1,5,6,2,2,1,1,18,16,0,0,0,0,3,1
1999,15,team_1,Tenerife,CF Extremadura,draw,21,23,16,8,0,2,2,1,2,4,4,5,5,1,1,1,19,20,0,0,2,0,0,2
1999,15,team_1,Espanyol,Valencia,team_1,16,15,13,23,2,6,1,2,1,1,5,4,4,0,1,1,17,3,0,2,0,0,1,0
1999,15,team_1,Real Oviedo,Real Madrid,team_1,17,21,17,30,4,3,2,4,2,2,3,1,1,2,2,2,7,4,2,1,0,0,0,0
1999,15,team_1,Real Valladolid,Barcelona,team_2,17,18,15,22,5,3,0,2,2,2,4,3,0,2,3,2,14,10,1,0,0,0,0,4
1999,15,team_1,Atlético,Real Zaragoza,draw,14,19,22,18,5,3,1,3,0,4,4,2,2,0,2,2,6,9,0,0,2,0,0,1
1999,15,team_1,Villarreal,Athletic,team_2,19,21,21,20,4,4,1,2,1,2,4,4,2,1,2,1,11,8,3,1,0,0,0,0
1999,15,team_1,R. Sociedad,Celta,team_1,20,14,19,25,4,4,1,2,1,0,4,1,2,3,2,4,12,2,0,1,0,0,1,0
1999,16,team_1,Barcelona,Alavés,team_1,18,18,23,10,3,3,3,1,2,3,3,5,2,2,2,1,9,17,1,1,0,0,0,0
1999,16,team_1,CF Extremadura,Mallorca,team_1,24,6,9,16,2,6,1,2,4,0,5,2,1,2,2,3,20,1,0,0,1,1,0,0
1999,16,team_1,UD Salamanca,Espanyol,team_2,24,17,13,15,4,3,0,1,1,1,7,5,2,4,1,1,18,16,0,1,0,0,2,0
1999,16,team_1,Celta,Real Oviedo,team_1,16,17,25,18,4,5,2,2,0,2,2,3,3,1,4,2,2,6,0,3,0,0,1,0
1999,16,team_1,Real Madrid,Tenerife,team_1,22,22,30,17,3,0,4,2,2,2,2,4,2,6,2,1,4,19,0,0,0,3,1,0
1999,16,team_1,Racing,Atlético,team_2,18,14,16,22,3,5,1,1,1,0,4,4,3,3,3,2,15,7,0,0,2,3,0,0
1999,16,team_1,Real Betis,Villarreal,team_1,17,20,10,21,3,4,2,1,2,2,4,4,2,2,2,2,12,13,0,0,2,0,0,1
1999,16,team_1,Athletic,Real Valladolid,team_1,21,18,21,15,4,5,3,0,2,3,4,4,1,0,1,3,8,14,2,0,0,0,0,1
1999,16,team_1,Real Zaragoza,Deportivo,team_1,19,16,18,20,3,5,3,1,4,0,2,3,0,3,3,3,11,5,0,0,1,1,0,0
1999,16,team_1,Valencia,R. Sociedad,team_1,17,20,24,21,6,5,2,1,1,1,5,4,0,2,1,2,3,10,0,1,0,0,1,0
1999,17,team_1,Mallorca,Real Madrid,team_1,7,22,16,34,6,4,2,4,0,2,3,2,2,2,3,2,1,4,0,1,0,0,1,0
1999,17,team_1,Tenerife,Celta,team_2,26,18,17,31,0,5,2,2,2,0,5,2,6,3,1,4,20,2,0,1,0,0,1,0
1999,17,team_1,Alavés,Espanyol,draw,25,19,11,18,3,3,1,2,3,1,6,5,2,4,1,1,19,13,0,2,0,0,1,0
1999,17,team_1,Atlético,CF Extremadura,team_1,16,24,25,10,5,3,2,1,0,4,4,5,3,1,2,2,5,18,1,1,0,0,0,0
1999,17,team_1,R. Sociedad,UD Salamanca,team_1,22,27,21,15,5,4,1,0,1,2,5,7,2,2,2,1,11,17,0,0,0,0,1,3
1999,17,team_1,Real Oviedo,Valencia,draw,23,17,20,26,5,7,2,2,2,1,4,5,1,0,2,1,10,3,0,1,0,0,1,0
1999,17,team_1,Deportivo,Racing,team_2,19,21,21,18,5,3,1,1,0,2,4,4,3,3,3,3,9,16,0,0,0,0,1,1
1999,17,team_1,Villarreal,Real Zaragoza,draw,24,20,22,21,4,4,1,3,2,4,5,2,2,0,2,3,14,8,0,1,0,0,2,0
1999,17,team_1,Real Valladolid,Real Betis,team_2,20,18,16,14,5,4,0,2,3,2,5,4,0,2,3,2,15,12,0,1,0,0,2,0
1999,17,team_1,Barcelona,Athletic,team_1,19,22,30,23,4,5,3,3,2,2,3,4,2,1,2,1,7,6,2,3,0,0,0,0
1999,18,team_1,Celta,Mallorca,team_1,18,8,33,18,5,7,3,2,0,0,2,3,3,2,4,3,2,1,2,1,0,0,0,0
1999,18,team_1,CF Extremadura,Deportivo,team_2,29,21,10,22,3,5,1,1,4,1,6,4,1,3,2,3,19,12,0,0,0,0,1,2
1999,18,team_1,Real Betis,Barcelona,team_2,18,21,17,34,4,5,3,3,2,2,4,3,2,2,2,2,9,5,2,3,0,0,0,0
1999,18,team_1,Espanyol,R. Sociedad,draw,20,22,19,25,3,6,2,1,1,1,5,5,4,2,2,2,13,10,0,1,1,0,0,0
1999,18,team_1,UD Salamanca,Real Oviedo,draw,31,25,15,22,4,5,0,2,2,2,8,4,2,2,1,2,18,11,0,0,0,1,4,0
1999,18,team_1,Real Madrid,Atlético,team_1,24,16,35,30,4,6,4,2,2,0,3,4,2,3,2,2,6,4,0,2,0,0,1,0
1999,18,team_1,Racing,Villarreal,team_2,22,25,20,23,3,4,2,1,2,2,4,5,3,3,3,2,14,15,1,0,0,1,0,0
1999,18,team_1,Real Zaragoza,Real Valladolid,team_1,21,23,22,16,4,5,3,0,4,4,2,5,0,0,4,3,8,16,0,0,1,0,0,3
1999,18,team_1,Alavés,Athletic,team_2,26,26,12,25,3,5,1,3,3,2,6,5,3,1,1,1,17,7,0,0,1,0,0,1
1999,18,team_1,Valencia,Tenerife,draw,19,28,28,17,7,0,2,2,1,3,5,5,0,6,2,1,3,20,0,0,1,0,0,2
1999,19,team_1,Athletic,Real Betis,draw,27,21,27,17,5,4,4,3,2,3,5,4,1,2,1,2,7,12,1,0,0,0,0,1
1999,19,team_1,Deportivo,Real Madrid,team_1,22,26,24,39,5,5,2,4,1,2,4,3,3,2,3,2,9,4,1,1,0,0,0,0
1999,19,team_1,Real Oviedo,Espanyol,draw,26,20,23,19,5,3,2,2,2,1,4,5,2,5,3,2,10,14,0,0,2,2,0,0
1999,19,team_1,Tenerife,UD Salamanca,team_1,29,32,18,16,0,4,2,0,3,2,5,8,6,3,2,1,20,18,0,0,1,1,0,0
1999,19,team_1,Villarreal,CF Extremadura,draw,26,31,25,11,4,3,2,1,2,5,5,6,3,1,2,2,13,19,1,0,0,0,0,2
1999,19,team_1,R. Sociedad,Alavés,team_1,22,28,25,13,6,3,1,1,1,4,5,6,2,3,3,1,11,17,0,0,1,0,0,1
1999,19,team_1,Mallorca,Valencia,team_2,12,20,20,29,7,7,2,2,0,1,4,5,2,1,3,2,2,5,0,0,0,2,1,0
1999,19,team_1,Atlético,Celta,team_1,20,20,32,37,6,6,2,3,0,0,5,2,3,3,2,4,6,1,0,3,0,0,1,0
1999,19,team_1,Real Valladolid,Racing,draw,25,24,16,21,5,3,0,2,4,3,6,4,0,3,3,3,16,15,0,0,0,0,4,1
1999,19,team_1,Barcelona,Real Zaragoza,team_1,21,21,37,24,5,5,4,3,2,4,3,2,2,0,2,4,3,8,4,1,0,0,0,0
1999,20,team_2,Valencia,Atlético,team_1,20,21,30,34,7,7,3,2,1,0,5,5,1,3,2,2,3,5,1,1,0,0,0,0
1999,20,team_2,Real Zaragoza,Athletic,team_2,24,27,25,27,5,5,3,4,4,2,3,5,0,2,4,1,10,7,0,0,0,1,1,0
1999,20,team_2,UD Salamanca,Mallorca,team_2,33,13,16,20,4,7,0,2,2,1,9,4,3,2,1,3,18,4,0,0,0,0,1,2
1999,20,team_2,R. Sociedad,Real Oviedo,team_2,23,27,27,24,7,5,1,2,1,2,5,4,2,3,3,3,9,11,1,0,0,3,0,0
